Rank , Name 
1 , AIIMS Patna . Bihar
2, AIIMS Deoghar . Jharkhand
3 , AIIMS Guwahati . Assam
4 , AIIMS Jammu (Vijaypur) . J&K
5 , LN Inst (JIPMER) . karaikal     
6 , IMS  . BHU Varanashi
7 , Bangalore Medical College and Research Institute (Banglore)
8  , SCB MC Cuttack
9 , PMCH . Patna
10 , Govt. MC Kottayam
11 , Pt. BD Sharma Institute of MS Rohtak
12 , GSVM  MC. Kanpur
13 , MC Baroda
14 , IGMS Patna
15 , JLN MC Ajmer
16 , Grant Medical College Mumbai
17, LLRM GMC Meerut
18 , MGM Indore
19 , GMC Kota
20 , Motilal Neharu (Allahabhad)
21 , SN Medical Collage Agra
22 , Nilratan Sirkar . MC Kolkata
23 , Rajendar Medical Ranchi 
24 , Kalpna Chawala MC Karnal
25 , BRD MC Gorakpur
26 , Mysore MCDRI 
27 , Sri Atal Bihari Vajpayee IMS Banglore
28, NMCH Patna
29 , HBT MC and Dr RN Cooper Juhu (Mumbai)
30, GMC Surat
31, GMC Ernakulam ( Tamil Nadu)
32, GMC Pariyaram (Kerela)
33, Kilpuk MC Chennai
34 , Madurai Medical Collage TN 
35 , Maharani Laxmibai GMC Jhansi
36, Guwahati Medical Collage 
37 , Dharbanga Medical Collage
38 , IGMC Shimla 
39 , Pt. DDU  MC Rajkot 
40 , Ghandi Medical Collage (Bhopal)
41 , Kolkata National Medical Collage 
42 , Doon Medical Collage Dehradun
43 , Shaheed Hassan MC Nalhar (Haryana)
44, Karnataka IMS Hubli 
45 , GMC Faizabad
46 , GMC Aurangabad Maharastra 
47 , Veer Surendra Sai IMS Barla (Orissa)
48 , GMC ShriKrishna Muzzafarpur
49 , MKCG Medical Collage Berahampur (Orissa)
50 , GMC Firozabad 
51 , GMC Haldwani 
52 , IGMC Nagpur
53 , MGM MC Jamshadpur
54 , Kalyan Singh MC Bulanshahar
55 , GMC Baramati 
56 , Bhagwan Mahavir IMS Pawapuri Nalanda
57 ,  Rajkiya Allopathic MC Bahraich (UP) 
58 , GMC Konni Kerela 
59 , Neta Ji Shubhas Chandra MC Jawalpur (MP)
60 , Pt JNM MC Raipur 
61 , MP Shah MC Jamnagar
62 , Mahatama Ghandi IMC Sevagram (Wardha Maharastra )
63 , GMC Thanjavur Tamil Nadu
64 , Shri Jagarnathpuri MC (Odhisa )
65 , GMC Rampur Basti
66 , GMC Shanjapur (UP)
67, Osmania Mc (Hyderabad)
68, Collage of Medicine and Sagore Dutta (Kolkata)
69 , GMC Amirtsar 
70 , Maharshi Deraha Baba MC Deoria (UP)
71 , AN Magadh Collage Gaya
72 , Burdwan MC (West Bengal)
73 , Patliputra MC (Dhanbad)
74 , GMC Barmer (Rajesthan )
75 , GMC Bataya 
76 , ESIC MC Bangalore 
77 , GMC Purnea 
78 , GMC Bhawanager (Gujarat)
79 , JKT MC Madhepura 
80 , Assam Medical Collage (Dibrugarh )
81 , GMC Hazaribagh (Jharkhand)
82, GMc Hanuman Ghar (Rajesthan)
83 , North Bengal Medical Collage (Darjeeling)
84 , GMC Vellore
85 , Guru Goving Singh MC Faridkot (Punjab)
86 , ESIC Coimbatore (Tamil Nadu)
87 , GMC Nashik (Maharastra)
88 , IMS Gulberga (Karnatak)
89 , GMC Haridwar (UttaraKhand)
90 , GMC Malda (West Bengla)
91 , ESIC MC Joka (Kolkata)
92 , Kakatiya MC Warangal (Telangana)
93 , ESIC MC Gulberga (Karnatak)
94 , 
